Key,English
modArmorHelmetLightSchematic,"Light Mod Schematic"
modArmorHelmetNightvisionSchematic,"Night Vision Mod Schematic"

modGunBrassCatcher,"Brass Catcher"
modGunBrassCatcherDesc,"Catches half of all brass casings used when installed in a gun."
modGunBrassCatcherSchematic,"Brass Catcher Schematic"

forgeInputClay,"[BDBAA2]Clay"
forgeInputStone,"[888C8D]Stone"
forgeInputSand,"[C2B280]Sand"
forgeInputLead,"[212121]Lead"
forgeInputBrass,"[B5A642]Brass"
forgeInputIron,"[A19D94]Iron"
forgeInputCopper,"[B87333]Copper"
forgeInputZinc,"[BAC4C8]Zinc"
forgeInputTitanium,"[797982]Titanium"
forgeInputTungsten,"[0047AB]Tungsten"

lblcopper,"Copper"
lblzinc,"Zinc"
lblTitanium,"Titanium"
lblTungsten,"Tungsten"

materialMreinforcedSteel_shapes,"Reinforced Steel"
materialMtitanium_shapes,"Titanium"
materialMtungsten_shapes,"Tungsten"

terrOreCopper,"Copper Ore"
terrOreZinc,"Zinc Ore"
terrOreTitanium,"Titanium Ore"
terrOreTungsten,"Tungsten Ore"
terrOreStoneCopperRandom,"Copper Vein Helper"
terrOreStoneZincRandom,"Zinc Vein Helper"
terrOreStoneTitaniumRandom,"Titanium Vein Helper"
terrOreStoneTungstenRandom,"Tungsten Vein Helper"
terrOreStoneCopperRandomDesc,"Copper Vein Helper"
terrOreStoneZincRandomDesc,"Zinc Vein Helper"
terrOreStoneTitaniumRandomDesc,"Titanium Vein Helper"
terrOreStoneTungstenRandomDesc,"Tungsten Vein Helper"

oreCopperBoulder,"Copper Ore Boulder"
oreZincBoulder,"Zinc Ore Boulder"
oreTitaniumBoulder,"Titanium Ore Boulder"
oreTungstenBoulder,"Tungsten Ore Boulder"

scrapCopperPile."Pile of Scrap Copper"

drinkJarEmpty,"Empty Water Jar"
drinkJarEmptyDesc,"An empty glass jar can be filled at water sources using the secondary action or used in other recipes."

BoiledbucketRiverWater,"Bucket of Boiled Water"
BoiledbucketRiverWaterDesc,"Bucket of Boiled Water\nOpen it to convert to jars of Boiled Water."

bucketMurkyWater,"Bucket of Murky Water"
bucketMurkyWaterDesc,"Bucket of Murky Water\nOpen it to convert to jars of Murky Water."

resourceWaterFilterSchematic,"Water Filter Schematic"
resourceWaterFilterDesc,"A component used in the crafting of a Dew Collector. Can be unlocked with a found schematic, or by reading Home Cooking Weekly Magazines and reaching Food Crafting Skill Level 10."
resourceCoalBundle,"Stack of Coal (10000)"
resourceLeadBundle,"Stack of Lead (10000)"
resourceOilShaleBundle,"Stack of Oil Shale (10000)"
resourcePotassiumNitratePowderBundle,"Stack of Nitrate Powder (10000)"
resourceRockSmallBundle,"Stack of Small Stone (10000)"
resourceWoodBundle,"Stack of Wood (10000)"
resourceCrushedSandBundle,"Stack of Crushed Sand (10000)"
resourceCrushedSandBundleDesc,"This is a compact stack of Crushed Sand. Use this item to open and unpack it."
resourceClayLumpBundle,"Stack of Clay (10000)"
resourceClayLumpBundleDesc,"This is a compact stack of Clay. Use this item to open and unpack it."
resourceScrapIronBundle,"Stack of Iron (10000)"
resourceScrapIronBundleDesc,"This is a compact stack of Scrap Iron. Use this item to open and unpack it."
resourceZincFragmentBundle,"Stack of Zinc (10000)"
resourceZincFragmentBundleDesc,"This is a compact stack of Zinc. Use this item to open and unpack it."
resourceCopperFragmentBundle,"Stack of Copper (10000)"
resourceCopperFragmentBundleDesc,"This is a compact stack of Copper. Use this item to open and unpack it."
resourceIronFragmentBundle,"Stack of Iron (10000)"
resourceIronFragmentBundleDesc,"This is a compact stack of Iron. Use this item to open and unpack it."
resourceTitaniumFragmentBundle,"Stack of Titanium (10000)"
resourceTitaniumFragmentBundleDesc,"This is a compact stack of Titanium. Use this item to open and unpack it."
resourceTungstenFragmentBundle,"Stack of Tungsten (10000)"
resourceTungstenFragmentBundleDesc,"This is a compact stack of Tungsten. Use this item to open and unpack it."
resourceWoodBranchBundle,"Stack of Wood Branches (10000)"
resourceWoodBranchBundleDesc,"This is a compact stack of branches. Use this item to open and unpack it."
resourceCopperFragment,"Copper"
resourceCopperFragmentDesc,"Copper can be combined with zinc in a forge to produce brass."
resourceZincFragment,"Zinc"
resourceZincFragmentDesc,"Zinc can be combined with copper in a forge to produce brass."
resourceIronFragment,"Iron"
resourceIronFragmentDesc,"Smelt in the forge for iron."
resourceTitaniumFragment,"Titanium"
resourceTitaniumFragmentDesc,"Smelt in the forge for titanium."
resourceForgedTitanium,"Forged Titanium"
resourceForgedTitaniumDesc,"Extra Strong.\nNot only extremely strong but also very light."
resourceTungstenFragment,"Tungsten"
resourceTungstenFragmentDesc,"Smelt in the forge for Tungsten."
resourceForgedTungsten,"Forged Tungsten"
resourceForgedTungstenDesc,"Nearly Indestructable.\nOne of the strongest materials known to man."
resourceTreeSap,"Tree Sap"
resourceTreeSapDesc,"Tree Sap"
resourceWoodBranch,"Wood Branch"
resourceWoodBranchDesc,"A Wood Branch"
resourceCopperSpool,"Copper Spool"
resourceCopperSpoolDesc,"A spool of copper wire."
resourceLeadPlate,"Lead Plate"
resourceLeadPlateDesc,"Lead plates are crafted in the forge."
resourceBearHide,"Bear Hide"
resourceBearHideDesc,"A bear hide is great crafting a bear rug."
resourceIceBag,"Bag of Ice"
resourceIceBagDesc,"Bag of Ice.\n\nHold in your hand and open with the action button to convert to snowballs.\n\nUse the Ice Machine for twice as many snowballs." 
resourceMineralInfuser,"Mineral Infuser"
resourceMineralInfuserDesc,"A Mineral Infuser can turn normal water into mineral water."
resourceMineralInfuserSchematic,"Mineral Infuser Schematic"
resourceHiFlowNozzle,"HiFlow Nozzle"
resourceHiFlowNozzleDesc,"A HiFlow Nozzle will cut the Water Purifier's craft time in half."
resourceHiFlowNozzleSchematic,"HiFlow Nozzle Schematic"
resourceLazerGem,"Lazer Gem"
resourceLazerGemDesc,"A Lazer Gem is a precisely crafted jewel to be used in a Light Saber."
meleeLightSabreRed,"Red Light Saber"
meleeLightSabreRedDesc,"The ULTIMATE melee weapon, or tool.\n\nNot only is a Light Saber a great weapon, but its also an useful tool."
meleeLightSabreBlue,"Blue Light Saber"
meleeLightSabreBlueDesc,"The ULTIMATE melee weapon, or tool.\n\nNot only is a Light Saber a great weapon, but its also an useful tool."
meleeLightSabreGreen,"Green Light Saber"
meleeLightSabreGreenDesc,"The ULTIMATE melee weapon, or tool.\n\nNot only is a Light Saber a great weapon, but its also an useful tool."

PirateBayPC,"A PC with a direct connection to the Pirate Bay."
AmazonPC,"Amazon Personal Computer"
PirateBayPCDesc,"A PC with a direct connection to Amazon.\nReturns not accepted."

furnace,"Furnace"
furnaceDesc,"A furnace can reach a much higher temperature than a forge, allowing you to smelt much stronger materials."

BrokenVendingMachine,Broken Vending Machine

WaterPurifier,"Water Purifier"
WaterPurifierDesc,"Turns dirty water into clean water.\nTurns clean water into mineral water."

IceMachine,"Ice Machine"
IceMachineDesc,"Workstation to turn water into snowballs."

BrokentableSaw,"Broken Table Saw"
BrokentableSawDesc,"Broken Table Saw"

tableSaw,"Table Saw"
tableSawDesc,"Table Saw"
tableSawTip,"Using the Table Saw to process Logs to Wood produces 2x Wood."

grasscutter,"Grass Cutter"

ScubaMask,"Scuba Mask"
ScubaMaskDesc,"Wear this scuba mask to prevent drowning."

hayBaleSquareChest,"Square Hay Bale Storage Chest"
hayBaleSquareChestDesc,"A Storage chest disguised as a hay bale.\nIt may not be the best place to hide your loot.\nKeep away from fire."
hayBaleRoundChest,"Round Hay Bale Storage Chest"
hayBaleRoundChestDesc,"A Storage chest disguised as a hay bale.\nIt may not be the best place to hide your loot.\nKeep away from fire."
hayBaleChestVariantHelper,"Hay Bale Storage Chest"
hayBaleChestVariantHelperDesc,"A Storage chest disguised as a hay bale.\nIt may not be the best place to hide your loot.\nKeep away from fire."

workingModernStove,"Working Stove"
workingModernStoveDesc,"Looks a bit beaten, but still gets the job done."
workingOldStove,"Working Stove"
workingOldStoveDesc,"Might not look pretty, but it'll work."
workingWallOvenDesc,"A working wall oven to cook up your meals."
workingWallOvenWhite,"Working Wall Oven"
workingWallOvenGrey,"Working Wall Oven"
workingWallOvenBlack,"Working Wall Oven"
workingWallOvenJaWoodlePurple,"Working Wall Oven"
hoodRangeJaWoodlePurple,"JaWoodle Purple Range Hood"
hoodRangeJaWoodlePurpleOffset,"JaWoodle Purple Range Hood Offset"
workingOvensVariantHelper,"Working Ovens/Ranges"
hoodRangeVariantHelper,"Oven/Range Hoods"

trapSpikesSteelDmg0,"Steel Spikes Trap"
trapSpikesSteelDmg0Desc,"Steel spike traps are 2x stronger than Iron. Place them using the secondary action.\n\nRepair with Forged Steel."
trapSpikesSteelDmg1,"Steel Spikes Trap"
trapSpikesSteelDmg2,"Steel Spikes Trap"
trapSpikesTitaniumDmg0,"Titanium Spikes Trap"
trapSpikesTitaniumDmg0Desc,"Titanium spike traps are 2x stronger than Steel. Place them using the secondary action.\n\nRepair with Forged Titanium."
trapSpikesTitaniumDmg1,"Titanium Spikes Trap"
trapSpikesTitaniumDmg2,"Titanium Spikes Trap"
trapSpikesTungstenDmg0,"Tungsten Spikes Trap"
trapSpikesTungstenDmg0Desc,"Tungsten spike traps are 2x stronger than Titanium. Place them using the secondary action.\n\nRepair with Forged Tungsten."
trapSpikesTungstenDmg1,"Tungsten Spikes Trap"
trapSpikesTungstenDmg2,"Tungsten Spikes Trap"

logWallPillarBlockVariantHelper,"Log Wall Pillars and Caps."
logWallSpikesBlockVariantHelper,"Log Wall With Spikes"
logWallBlockVariantHelper,"Log Wall"
logWallLeft,"Log Wall Left"
logWallLeftCobble,"Cobblestone Log Wall Left"
logWallLeftConcrete,"Concrete Log Wall Left"
logWallLeftSteel,"Steel Log Wall Left"
logWallLeftRsteel,"Reinforced Steel Log Wall Left"
logWallLeftTitanium,"Titanium Log Wall Left"
logWallLeftTungsten,"Tungsten Log Wall Left"
logWallRight,"Log Wall Right"
logWallRightCobble,"Cobblestone Log Wall Right"
logWallRightConcrete,"Concrete Log Wall Right"
logWallRightSteel,"Steel Log Wall Right"
logWallRightRsteel,"Reinforced Steel Log Wall Right"
logWallRightTitanium,"Titanium Log Wall Right"
logWallRightTungsten,"Tungsten Log Wall Right"
logWallLeftSpikes,"Log Wall Left Spikes"
logWallLeftSpikesCobble,"Cobblestone Log Wall Left Spikes"
logWallLeftSpikesConcrete,"Concrete Log Wall Left Spikes"
logWallLeftSpikesSteel,"Steel Log Wall Left Spikes"
logWallLeftSpikesRsteel,"Reinforced Steel Log Wall Left Spikes"
logWallLeftSpikesTitanium,"Titanium Log Wall Left Spikes"
logWallLeftSpikesTungsten,"Tungsten Log Wall Left Spikes"
logWallRightSpikes,"Log Wall Right Spikes"
logWallRightSpikesCobble,"Cobblestone Log Wall Right Spikes"
logWallRightSpikesConcrete,"Concrete Log Wall Right Spikes"
logWallRightSpikesSteel,"Steel Log Wall Right Spikes"
logWallRightSpikesRsteel,"Reinforced Steel Log Wall Right Spikes"
logWallRightSpikesTitanium,"Titanium Log Wall Right Spikes"
logWallRightSpikesTungsten,"Tungsten Log Wall Right Spikes"
logWallPillar,"Log Wall Pillar"
logWallPillarCobble,"Cobblestone Log Wall Pillar"
logWallPillarConcrete,"Concrete Log Wall Pillar"
logWallPillarSteel,"Steel Log Wall Pillar"
logWallPillarRsteel,"Reinforced Steel Log Wall Pillar"
logWallPillarTitanium,"Titanium Log Wall Pillar"
logWallPillarTungsten,"Tungsten Log Wall Pillar"
logWallPillarCap,"Log Wall Pillar Cap Angled"
logWallPillarCapCobble,"Cobblestone Log Wall Pillar Cap Angled"
logWallPillarCapConcrete,"Concrete Log Wall Pillar Cap Angled"
logWallPillarCapSteel,"Steel Log Wall Pillar Cap Angled"
logWallPillarCapRsteel,"Reinforced Steel Log Wall Pillar Cap Angled"
logWallPillarCapTitanium,"Titanium Log Wall Pillar Cap Angled"
logWallPillarCapTungsten,"Tungsten Log Wall Pillar Cap Angled"
logWallPillarCap2,"Log Wall Pillar Cap"
logWallPillarCap2Cobble,"Cobblestone Log Wall Pillar Cap"
logWallPillarCap2Concrete,"Concrete Log Wall Pillar Cap"
logWallPillarCap2Steel,"Steel Log Wall Pillar Cap"
logWallPillarCap2Rsteel,"Reinforced Steel Log Wall Pillar Cap Angled"
logWallPillarCap2Titanium,"Titanium Log Wall Pillar Cap"
logWallPillarCap2Tungsten,"Tungsten Log Wall Pillar Cap"

doorWoodLargeGate,"Large Wooden Gate"
doorCobbleLargeGate,"Large Cobblestone Gate"
doorConcreteLargeGate,"Large Concrete Gate"
doorSteelLargeGate,"Large Steel Gate"
doorRsteelLargeGate,"Reinforced Steel Large Gate"
doorTitaniumLargeGate,"Titanium Large Gate"
doorTungstenLargeGate,"Tungsten Large Gate"

WoodLogSpike1,"Wood Log Spike"
WoodLogSpike1Desc,"Wood Log Spike"
reinforcedWoodLogSpike2,"Reinforced Wood Log Spike"
reinforcedWoodLogSpike2Desc,"Reinforced Wood Log Spike"
reinforcedWoodMetalLogSpike3,"Reinforced Wood/Metal Log Spike"
reinforcedWoodMetalLogSpike3Desc,"Reinforced Wood/Metal Log Spike"
scrapIronLogSpike4,"Scrap Iron Log Spike"
scrapIronLogSpike4Desc,"Scrap Iron Log Spike"
reinforcedScrapIronLogSpike5,"Reinforced Scrap Iron Log Spike"
reinforcedScrapIronLogSpike5Desc,"Reinforced Scrap Iron Log Spike"
steelLogSpike6,"Steel Log Spike"
steelLogSpike6Desc,"Steel Log Spike"
reinforcedSteelLogSpike7,"Reinforced Steel Log Spike"
reinforcedSteelLogSpike7Desc,"Reinforced Steel Log Spike"
titaniumLogSpike8,"Titanium Log Spike"
titaniumLogSpike8Desc,"Titanium Log Spike"
tungstenLogSpike9,"Tungsten Log Spike"
tungstenLogSpike9Desc,"Tungsten Log Spike"

lanternOld_01_player,"Old Lantern"
lanternOld_02_player,"Old Lantern Side Wall Hanging Nail"
lanternOld_03_player,"Old Lantern Side Wall Hanging Spike"
lanternOld_04_player,"Old Lantern Ceiling Center Hook"

flashlightCornerDecorBlue_player,"Blue Corner Flashlight"
flashlightCornerDecorGreen_player,"Green Corner Flashlight"
flashlightCornerDecorOrange_player,"Orange Corner Flashlight"
flashlightCornerDecorRed_player,"Red Corner Flashlight"
flashlightCornerDecorWhite_player,"White Corner Flashlight"
flashlightCornerDecorYellow_player,"Yellow Corner Flashlight"
flashlightDecorBlue_player,"Blue Centered Flashlight"
flashlightDecorGreen_player,"Green Centered Flashlight"
flashlightDecorOrange_player,"Orange Centered Flashlight"
flashlightDecorRed_player,"Red Centered Flashlight"
flashlightDecorWhite_player,"White Centered Flashlight"
flashlightDecorYellow_player,"Yellow Centered Flashlight"
flashlightSideCenteredDecorBlue_player,"Blue Side Centered Flashlight"
flashlightSideCenteredDecorGreen_player,"Green Side Centered Flashlight"
flashlightSideCenteredDecorOrange_player,"Orange Side Centered Flashlight"
flashlightSideCenteredDecorRed_player,"Red Side Centered Flashlight"
flashlightSideCenteredDecorWhite_player,"White Side Centered Flashlight"
flashlightSideCenteredDecorYellow_player,"Yellow Side Centered Flashlight"
flashlightDecorLightBlockVariantHelper,"Flashlight"

rugBear,"Bear Rug"
rugBearBlockVariantHelper,"Bear Rug"
rugBearRed,"Red Bear Rug"
rugBearOrange,"Orange Bear Rug"
rugBearYellow,"Yellow Bear Rug"
rugBearGreen,"Green Bear Rug"
rugBearPurple,"Purple Bear Rug"
rugBearPink,"Pink Bear Rug"
rugBearGrey,"Grey Bear Rug"
rugBearWhite,"White Bear Rug"
rugBearArmyGreen,"Army Green Bear Rug"
rugBearJaWoodlePurple,"JaWoodle Purple Bear Rug"

ammoBundleGroupDesc,"Crafting boxes of ammo costs fewer resources.\n\nUse this item to unpack the ammo from the box."
ammoBundle44MagnumBulletAP,"Box of AP .44 Magnum Ammo (1000)"
ammoBundle44MagnumBulletBall,"Box of .44 Magnum Ammo (1000)"
ammoBundle44MagnumBulletHP,"Box of HP .44 Magnum Ammo (1000)"
ammoBundle762mmBulletAP,"Box of AP 7.62mm Ammo (1000)"
ammoBundle762mmBulletBall,"Box of 7.62mm Ammo (1000)"
ammoBundle762mmBulletHP,"Box of HP 7.62mm Ammo (1000)"
ammoBundle9mmBulletAP,"Box of AP 9mm Ammo (1000)"
ammoBundle9mmBulletBall,"Box of 9mm Ammo (1000)"
ammoBundle9mmBulletHP,"Box of HP 9mm Ammo (1000)"
ammoBundleArrowExploding,"Box of Exploding Arrows (1000)"
ammoBundleArrowFlaming,"Box of Flaming Arrows (1000)"
ammoBundleArrowIron,"Box of Iron Arrows (1000)"
ammoBundleArrowSteelAP,"Box of Steel Arrows (1000)"
ammoBundleArrowStone,"Box of Stone Arrows (1000)"
ammoBundleCrossbowBoltExploding,"Box of Exploding Crossbow Bolts (1000)"
ammoBundleCrossbowBoltFlaming,"Box of Flaming Crossbow Bolts (1000)"
ammoBundleCrossbowBoltIron,"Box of Iron Crossbow Bolts (1000)"
ammoBundleCrossbowBoltSteelAP,"Box of Steel Crossbow Bolts (1000)"
ammoBundleCrossbowBoltStone,"Box of Stone Crossbow Bolts (1000)"
ammoBundleJunkTurretAP,"Box of AP Robotic Turret Ammo (10000)"
ammoBundleJunkTurretRegular,"Box of Robotic Turret Ammo (10000)"
ammoBundleJunkTurretShell,"Box of Robotic Turret Shell Ammo (10000)"
ammoBundleShotgunBreachingSlug,"Box of Shotgun Breaching Slugs (1000)"
ammoBundleShotgunShell,"Box of Shotgun Shells (1000)"
ammoBundleShotgunSlug,"Box of Shotgun AP Slugs (1000)"
ammoGasCanBundle,"Stack of Gas Cans (30000)"
resourceGunPowderBundle,"Stack of Gun Powder (10000)"
